Name
Cotonese
Taco Terrier
Cairmal
King Shepherd
Kyi-Leo
Majestic Tree Hound
Chorkie
Cockalier
Dorgi
Dorkie
Double Doodle
Maremma Sheepdog
Lucas Terrier
Lurcher
Mal-Shi
Shichon
Slovensky Cuvac
Moscow Watchdog
Stabyhoun
Mountain Cur
Polish Tatra Sheepdog
Puggle
Russian Tsvetnaya Bolonka
